Supplier name 1,Supplier name 2,Similarity score
SPRINTS PRINT & EMBROIDERY LTD,SPRINT PRINT & EMBROIDERY,90
ELTEC SYSTEM,SYSTEMS ETC,87
SPORT ECO,HEJO SPORT,84
SPORT ECO,COMSPORT,82
SPORT ECO,GO SPORT,82
SPORT ECO,METRO SPORT,80
D'OFFICE SPRL,MONDOFFICE SRL,81
HOTEL INTERCONTINENTAL,INTERCONTINENTAL - BERLIN,84
HOTEL INTERCONTINENTAL,INTERNATIONAL HOTEL,83
INTERNATIONAL SPORT CULT,INTERNATIONAL SPORT CONSULTANCY,87
GENIX IMAGING LIMITED,GENIX IMAGING LTD,89
CLIFFORD CHANGE PUENDER,CLIFFORD CHANCE PÜNDER,91
COMPENIC BV,COMPENDIUM BV,83
ZEKE DESIGN,LUECKEN DESIGN,80
OCTAGON CIS B.V.,OCTAGON CIS,85
"ESAVE, S.A.","ELSAMEX, S.A.",80
WP SPORT MEDIA,ZPRESS SPORT MEDIA,81
CENTRO COMPUTER SPA,CENTRO COMPUTER S.P.A.,85
EISENFUHR SPEISER AND PARTNER,"EISENFUEHR, SPEISER & PARTNER",91
ADT DEUTSCHLAND GMBH,BAG PRO DEUTSCHLAND GMBH,82
ADT DEUTSCHLAND GMBH,DATAVISION DEUTSCHLAND GMBH,81
ADT DEUTSCHLAND GMBH,HTS DEUTSCHLAND GMBH,80
ADT DEUTSCHLAND GMBH,IBM  DEUTSCHLAND GMBH,80
SEGURGEST,EUREST,80
SEKO WILLIAMS,EDSON WILLIAMS,81
SATIS & FY,SATIS&FY,100
MEDIA MISSION,MEDIA VISION,88
TMP WORLDWIDE,TMP WORLDWIDE LTD,87
BARDUHN JULIA,BRAUN JULIA,83
CPM UNITED KINGDOM UK LTD,GBC (UNITED KINGDON) LTD,81
ECO-EMBALLAGES,ECO EMBALLAGES SA,90
GOLF HOTEL RHEINHESSEN,GOLFCLUB RHEINHESSEN,81
EMAP COMMUNICATIONS LTD,M T COMMUNICATIONS,88
EMAP COMMUNICATIONS LTD,KANE COMMUNICATIONS LTD,87
EMAP COMMUNICATIONS LTD,FREUD COMMUNICATIONS LTD,85
EMAP COMMUNICATIONS LTD,DEE COMMUNICATIONS LIMITED,82
CITY OF WESTMINISTER,CITY  OF WESTMINSTER,97
HOTEL ANTONELLA S.R.L.,HOTEL ANTONELLA SRL,85
SCHELDE INTERNATIONAL BV,REX INTERNATIONAL BV,82
METO UK LIMITED,O2 UK LIMITED,86
METO UK LIMITED,SEIKO UK LIMITED,84
METO UK LIMITED,TWI-UK LIMITED,83
METO UK LIMITED,TNT UK LIMITED,83
PRS EUROPE,RTC EUROPE,80
PRS EUROPE,SBR EUROPE,80
FRANK & BAUER,BAUER FLORIAN,83
GOMEZ-ACEBO AND POMBO,"GOMEZ, ACEBO AND POMBO",100
GOMEZ-ACEBO AND POMBO,GOMEZ ACEBO & POMBO,89
GOMEZ-ACEBO AND POMBO,"GOMEZ, ACEBO & POMBO C.B.",86
AIR FRANCE,BTI FRANCE,80
ELITE SERVICES (ENVIRONMENTAL) LTD,ALBANY ENVIRONMENTAL SERVICES LTD,86
TENON LIMITED,TENPIN LIMITED,89
TENON LIMITED,TENSATOR LIMITED,83
NUS CONSULTING GROUP,DIP CONSULTING GROUP NV,84
MANCHESTER MODEL AGENCY,ANNETTE MODEL AGENCY,84
ESSETRE DI G.F.SCOTTI,ESSETRE DI G. F. SCOTTI,100
BBC WORLDWIDE LIMITED,TMP WORLDWIDE LIMITED,81
CIRCLECULTURE,CC - CIRCLE CULTURE,87
EDM PUBLICATION,EDM PUBLICATIONS,97
EDM PUBLICATION,PG PUBLICATIONS,80
KAISER KRAFT NV,KAISER & KRAFT,89
GOLF MESSE MUENCHEN,MESSE MUENCHEN GMBH,84
ISLAND PACIFIC,ISLAND PACIFIC UK,90
FEDEX-FEDERAL EXPRESS EUROPE INC.FI,FEDERAL EXPRESS EUROPE INC,85
ORB INTERNATIONAL,NOVA INTERNATIONAL,86
ORB INTERNATIONAL,PIRA INTERNATIONAL,86
ORB INTERNATIONAL,TONGE INTERNATIONAL,83
ORB INTERNATIONAL,INTERNATIONAL PAPER,83
AA BUSINESS & TAXISERVICE,AIR BUSINESS SERVICE,84
LONG DISTANCE SARL,LONG DISTANCE,84
KAOS LIMITED,AON LIMITED,87
KAOS LIMITED,AKQA LIMITED,83
KAOS LIMITED,ARESA LIMITED,80
PRICE WATERHOUSE,PRICE WATERHOUSE COOPERS,80
"VM2, VERENIGING",VTWS  VERENIGING,83
DMX MUSIC LTD,DMX MUSIC,82
ADT-SENSOMATIC,SENSORMATIC,80
"SCHLEGEL, CHRISTEL",CHRISTEL SCHLEGEL,100
MAINETTI S.A.,MAINETTI S.P.A.,92
MAINETTI S.A.,MAINETTI,80
GO SPORT,SPORT ECO,82
SOFTWARE SPECTRUM EUROPEAN,SOFTWARE SPECTRUM INC.,81
SOFTWARE SPECTRUM EUROPEAN,SOFTWARE SPECTRUM NETHERLANDS,80
FES GMBH,EQ GMBH,80
BRIDGEND LIMITED PARTNERSHIP,ADP PARTNERSHIP LIMITED,82
TWI-UK LIMITED,TNT UK LIMITED,86
TWI-UK LIMITED,METO UK LIMITED,83
TWI-UK LIMITED,TWI-UK LTD,83
TWI-UK LIMITED,O2 UK LIMITED,81
HERAS NEDERLAND BV,GAK NEDERLAND BV,82
ARESA LIMITED,ATELLA LIMITED,81
ARESA LIMITED,KAOS LIMITED,80
ARESA LIMITED,ITSA LIMITED,80
ARESA LIMITED,AKQA LIMITED,80
PAPA G LIMITED,OPP LIMITED,80
"WEIL, GOTSHAL & MANGES",WEIL GOTSHAL AND MANGES,90
PRICE WATERHOUSE COOPERS,PRICE WATERHOUSE,80
ELITE SECURITE,KENT SECURITE,81
ELITE SECURITE,ALITAIR SECURITE,80
3B DIENSTLEISTUNG GMBH,B & S DIENSTLEISTUNGEN,81
DEE COMMUNICATIONS LIMITED,EMAP COMMUNICATIONS LTD,82
DEE COMMUNICATIONS LIMITED,KANE COMMUNICATIONS LTD,82
DEE COMMUNICATIONS LIMITED,FREUD COMMUNICATIONS LTD,80
EXHIBITS INTERNATIONAL - AMSTERDAM,EXHIBITS INTERNATIONAL,81
"STEENHOVEN ADVOCATEN, VAN DER",NOLEN VAN DER LIST ADVOCATEN,86
AON LIMITED,KAOS LIMITED,87
AON LIMITED,CANON UK LIMITED,81
ECO EMBALLAGES SA,ECO-EMBALLAGES,90
LEE HECHT HARRISON GMBH,LEE HECHT HARRISON,88
VITRA NEDERLAND BV,ORACLE NEDERLAND BV,81
NEWPORT HOTEL EN RESIDENTIAL SUITES,NEWPORT HOTEL & RESIDENTIAL SUITES,96
LUECKEN DESIGN,ZEKE DESIGN,80
THE NPD GROUP INC,THE NCC GROUP,80
WENTZEL SUNE,SUNE WENTZEL,100
PRINTEC GMBH,VITEC GMBH,82
LUTZ BONGEN GMBH,LBM - LUTZ BONGEN GMBH,89
INDUSTRIE-UND HANDELSKAMMER,INDUSTRIE- UND HANDELSKAMMER,100
VIVES VIDAL  VIVESA  SA,"VIVES VIDAL, VIVESA S.A.",93
TANGO DESIGN LIMITED,TANGO DESIGN LTD,89
TANGO DESIGN LIMITED,STORM DESIGN LIMITED,85
GEAC ENTERPRISE SOLUTIONS,LOGICA CMG ENTERPRISE SOLUTIONS,82
EUROPE INFORMATION SERVICE,GE INFORMATION SERVICES,86
ISM ITALIA S.R.L.,CPM ITALIA S.R.L.,88
GRK OFFSET BV,GRAVO OFFSET BV,86
SOFTWARE SPECTRUM INC.,SOFTWARE SPECTRUM GMBH,84
SOFTWARE SPECTRUM INC.,SOFTWARE SPECTRUM EUROPEAN,81
RADISSON SAS HOTEL - KOELN,RADISSON SAS HOTEL,86
MAISON VAN DEN BOER BV,MAISON VAN DEN BOER,93
OCE NEDERLANDSE,NEDERLANDSE ORDE VAN,80
DOXFORD INTERNATIONAL MANAGEMENT,INTERNATIONAL MANAGEMENT FORUM,90
CAPI LUX VAK,CAPI-LUX-VAK,100
SYSTEMS ETC,ELTEC SYSTEM,87
MERCURE HOTEL,MERCURIUS HOTEL,86
INTERCONTINENTAL - BERLIN,HOTEL INTERCONTINENTAL,84
GETTY IMAGES INC,GETTY IMAGES,86
GEE PUBLISHING LTD,GREENLEAF PUBLISHING LTD,86
MIELE NEDERLAND B.V,CPM NEDERLAND B.V. (FIELD,86
MIELE NEDERLAND B.V,DELTA NEDERLAND B.V,84
VTWS  VERENIGING,"VM2, VERENIGING",83
STUDIO LEGALE CHIERICI,STUDIO LEGALE FERRACUTI,80
